	GeneID	count	gene_symbol
23966	552860	4	SAMD12-AS1
23967	552889	16	ATXN7L3B
23968	552891	7	DNAJC25-GNG10
23969	552900	55	BOLA2
23970	553103	7	MIR3936HG
23971	553115	55	PEF1
23972	553117	12	RPL39P5
23973	553128	26	KIR2DL5B
23974	553158	15	PRR5-ARHGAP8
23975	553190	1	MYP7
23976	553192	1	MYP8
23977	553194	1	MYP9
23978	553195	2	MYP10
23979	553989	1	LFS3
23980	553992	1	MGR7
23981	554049	1	C1DP1
23982	554175	2	DNM1P33
23983	554188	1	FCMTE2
23984	554201	1	CCDC148-AS1
23985	554202	40	MIR31HG
23986	554203	19	JPX
23987	554206	4	LOC554206
23988	554210	108	MIR429
23989	554212	42	MIR448
23990	554213	102	MIR449A
23991	554214	12	MIR450A1
23992	554224	1	PPIP5K1P1
23993	554225	3	STRCP1
23994	554226	4	ANKRD30BL
23995	554234	3	RPL36AP40
23996	554235	7	ASPDH
23997	554236	6	DPY19L2P1
23998	554249	2	FAM88D
23999	554250	4	GDF5-AS1
24000	554251	10	FBXO48
24001	554279	4	LINC00862
24002	554282	3	FAM72C
24003	554300	44	KIR2DP1
24004	554313	127	H4C15
24005	554314	1	AUTS6
24006	554315	1	BMND5
24007	554316	1	BMND4
24008	554354	1	LARP4P
24009	572558	12	PGM5-AS1
24010	573971	30	DHFRP1
24011	574016	2	CLLU1-AS1
24012	574028	22	CLLU1
24013	574029	7	DUSP5P1
24014	574030	37	MIR362
24015	574031	90	MIR363
24016	574032	83	MIR20B
24017	574033	33	MIR18B
24018	574034	49	MIR433
24019	574036	3	SERTAD4-AS1
24020	574038	33	MIR431
24021	574040	5	SNORA6
24022	574042	5	SNORA10
24023	574043	1	CDAGS
24024	574044	1	EPRPDC
24025	574045	11	HNP1
24026	574047	1	MRXSMP
24027	574048	1	OVCAS1
24028	574049	1	TUKLS
24029	574077	1	GLC1K
24030	574078	1	GLC1J
24031	574406	1	ADAMTSL4-AS1
24032	574407	5	OBSCN-AS1
24033	574408	30	MIR329-1
24034	574409	19	MIR329-2
24035	574410	11	MIR323B
24036	574411	197	MIR451A
24037	574412	42	MIR452
24038	574413	52	MIR409
24039	574414	1	PRR9
24040	574431	2	C1orf147
24041	574432	1	IBA57-DT
24042	574433	6	MIR412
24043	574434	61	MIR410
24044	574435	12	MIR376B
24045	574436	93	MIR485
24046	574441	39	MIR488
24047	574442	40	MIR489
24048	574443	66	MIR490
24049	574444	61	MIR491
24050	574445	28	MIR511
24051	574447	136	MIR146B
24052	574448	63	MIR202
24053	574449	26	MIR492
24054	574450	45	MIR493
24055	574451	38	MIR432
24056	574452	124	MIR494
24057	574453	104	MIR495
24058	574454	21	MIR496
24059	574455	91	MIR193B
24060	574456	161	MIR497
24061	574457	35	MIR181D
24062	574458	16	MIR512-1
24063	574459	8	MIR512-2
24064	574460	42	MIR498
24065	574461	10	MIR520E
24066	574462	23	MIR515-1
24067	574463	4	MIR519E
24068	574464	11	MIR520F
24069	574465	12	MIR515-2
24070	574466	13	MIR519C
24071	574467	27	MIR520A
24072	574468	22	MIR526B
24073	574469	12	MIR519B
24074	574470	18	MIR525
24075	574471	7	MIR523
24076	574472	4	MIR518F
24077	574473	31	MIR520B
24078	574474	15	MIR518B
24079	574475	6	MIR526A1
24080	574476	22	MIR520C
24081	574477	10	MIR518C
24082	574478	26	MIR524
24083	574479	17	MIR517A
24084	574480	38	MIR519D
24085	574481	4	MIR521-2
24086	574482	16	MIR520D
24087	574483	7	MIR517B
24088	574484	15	MIR520G
24089	574485	7	MIR516B2
24090	574486	5	MIR526A2
24091	574487	5	MIR518E
24092	574488	10	MIR518A1
24093	574489	6	MIR518D
24094	574490	11	MIR516B1
24095	574491	9	MIR518A2
24096	574492	9	MIR517C
24097	574493	16	MIR520H
24098	574494	4	MIR521-1
24099	574495	19	MIR522
24100	574496	14	MIR519A1
24101	574497	12	MIR527
24102	574498	10	MIR516A1
24103	574499	8	MIR516A2
24104	574500	9	MIR519A2
24105	574501	196	MIR499A
24106	574502	26	MIR500A
24107	574503	31	MIR501
24108	574504	38	MIR502
24109	574505	10	MIR450A2
24110	574506	101	MIR503
24111	574507	27	MIR504
24112	574508	37	MIR505
24113	574509	15	MIR513A1
24114	574510	8	MIR513A2
24115	574511	85	MIR506
24116	574512	9	MIR507
24117	574513	31	MIR508
24118	574514	20	MIR509-1
24119	574515	12	MIR510
24120	574516	9	MIR514A1
24121	574517	6	MIR514A2
24122	574518	7	MIR514A3
24123	574537	10	UGT2A2
24124	574538	2	LOC574538
24125	594832	1	MYP11
24126	594837	3	SNORD101
24127	594838	2	SNORD100
24128	594839	5	SNORA33
24129	594840	2	ZFAT-AS1
24130	594842	11	HAS2-AS1
24131	594855	13	CPLX3
24132	594857	22	NPS
24133	595097	6	SNORD16
24134	595098	4	SNORD18A
24135	595099	5	SNORD18B
24136	595100	5	SNORD18C
24137	595101	4	SMG1P5
24138	595135	6	PGM5P2
24139	606293	7	KLKP1
24140	606495	3	CYB5RL
24141	606500	3	SNORD68
24142	606551	1	UBE2MP1
24143	606553	3	LINC02905
24144	613037	4	NPIPB13
24145	613126	2	CYP51A1-AS1
24146	613204	1	IFITM8P
24147	613209	3	DEFB135
24148	613210	4	DEFB136
24149	613211	3	DEFB134
24150	613212	8	CTXN3
24151	613227	7	HIGD1C
24152	613253	11	DEFA1A3
24153	613266	3	LOC613266
24154	619189	4	SERINC4
24155	619190	4	FDPSP2
24156	619207	4	SCART1
24157	619208	3	FAM229B
24158	619212	1	PA2G4P3
24159	619279	14	ZNF704
24160	619351	6	LINC00589
24161	619373	22	MBOAT4
24162	619379	1	SPG29
24163	619383	4	SCARNA9
24164	619394	1	SPOAN
24165	619397	1	FEB6
24166	619398	1	FEB5
24167	619399	1	ETL2
24168	619402	1	HPC5
24169	619404	1	CTRCT35
24170	619405	1	AIS4
24171	619406	1	HPE8
24172	619407	1	MSSD
24173	619408	1	PSNP2
24174	619409	1	MDCMP
