candidate_gene,neighbors,neighbors_in_seed,neighbors_divide_by_interactome_size,neighbors_in_seed_divide_by_seed_size,ratios,p_value,fdr_bh
STK24,70,3,0.0037602062741727547,0.0297029702970297,7.899292786421499,0.002,0.0037139437462597245
PLCD3,96,3,0.005156854318865492,0.0297029702970297,5.75990099009901,0.002,0.0037139437462597245
MED14,95,3,0.00510313708637731,0.0297029702970297,5.820531526836894,0.002,0.0037139437462597245
IL5,93,3,0.004995702621400946,0.0297029702970297,5.945704247844138,0.002,0.0037139437462597245
TMOD3,81,3,0.004351095831542759,0.0297029702970297,6.826549321598826,0.002,0.0037139437462597245
EFNB2,78,3,0.004189944134078212,0.0297029702970297,7.089108910891089,0.002,0.0037139437462597245
PI4KA,114,3,0.006123764503652772,0.0297029702970297,4.850442939030745,0.002,0.0037139437462597245
NBN,90,3,0.004834550923936399,0.0297029702970297,6.143894389438944,0.002,0.0037139437462597245
MLH3,52,3,0.002793296089385475,0.0297029702970297,10.633663366336632,0.002,0.0037139437462597245
SUN2,79,3,0.0042436613665663946,0.0297029702970297,6.999373355057024,0.002,0.0037139437462597245
MAPK7,94,3,0.005049419853889127,0.0297029702970297,5.882452074994734,0.002,0.0037139437462597245
ACD,93,3,0.004995702621400946,0.0297029702970297,5.945704247844138,0.002,0.0037139437462597245
MGMT,86,3,0.00461968199398367,0.0297029702970297,6.42965691918029,0.002,0.0037139437462597245
APEX1,107,3,0.005747743876235496,0.0297029702970297,5.167761635976682,0.002,0.0037139437462597245
PSMD7,110,3,0.005908895573700043,0.0297029702970297,5.026822682268226,0.002,0.0037139437462597245
LRRC59,89,3,0.004780833691448216,0.0297029702970297,6.212926910668595,0.002,0.0037139437462597245
RAE1,138,3,0.007412978083369145,0.0297029702970297,4.006887645286268,0.002,0.0037139437462597245
MED15,83,3,0.004458530296519123,0.0297029702970297,6.6620541572229515,0.002,0.0037139437462597245
TNK2,98,3,0.005264288783841857,0.0297029702970297,5.64235199030107,0.002,0.0037139437462597245
