genes,final_score,initial_score,degree_in_disease,degree_in_background,degree_in_disease_normalized,publications,final_rank,source
IRS4,0.001158608627173269,0.0,0.07355242566510173,0.008326171035668243,8.83388,163.0,252,first neighbor
TERT,0.0011576839549192037,0.0,0.08294209702660407,0.006499785131070047,12.76074,1992.0,253,first neighbor
NR4A1,0.001156860013532404,0.0,0.08294209702660407,0.008702191663085519,9.53117,282.0,254,first neighbor
BTK,0.0011513020011852137,0.0,0.07668231611893583,0.011764073914911903,6.51835,347.0,255,first neighbor
CCT2,0.0011464575523702884,0.0,0.07198748043818466,0.01461108723678556,4.92691,261.0,256,first neighbor
IFI16,0.001142793992335417,0.0,0.06885758998435054,0.019606789858186507,3.51193,203.0,257,first neighbor
KMT2A,0.0011334742849460574,0.0,0.07511737089201878,0.006768371293510958,11.09829,622.0,258,first neighbor
PPFIA1,0.0011269331313455509,0.143133462282398,0.01564945226917058,0.0034916201117318434,4.482,102.0,259,seed
SPTBN1,0.0011251578265678583,0.0,0.07668231611893583,0.008111302105715514,9.45376,209.0,260,first neighbor
NFE2L2,0.001123826938546327,0.0,0.07981220657276995,0.01020627417275462,7.81992,1648.0,261,first neighbor
SMARCB1,0.0011195684593873366,0.0,0.07355242566510173,0.010850880962612806,6.77848,477.0,262,first neighbor
TWIST1,0.0011135572751253744,0.0,0.0782472613458529,0.005479157713794585,14.28089,712.0,263,first neighbor
NGF,0.0011111576687823108,0.0,0.07511737089201878,0.0053717232488182205,13.98385,393.0,264,first neighbor
E2F4,0.0011107053607189317,0.0,0.06729264475743349,0.0063386334336055,10.61627,164.0,265,first neighbor
FAS,0.001109817241880986,0.0,0.07042253521126761,0.008003867640739149,8.79856,1232.0,266,first neighbor
IRAK1,0.0011094847280967346,0.0,0.07668231611893583,0.009131929522990976,8.39716,342.0,267,first neighbor
THRA,0.001108790265756159,0.0,0.07042253521126761,0.007198109153416416,9.78348,206.0,268,first neighbor
RPS27,0.0011085569190765329,0.0,0.06729264475743349,0.017189514396218308,3.91475,157.0,269,first neighbor
CHD3,0.0011042088943761725,0.0,0.07355242566510173,0.008379888268156424,8.77726,152.0,270,first neighbor
PPARGC1A,0.0011001838581067938,0.0,0.07668231611893583,0.009454232917920068,8.1109,759.0,271,first neighbor
WDR5,0.001097235925209147,0.0,0.06885758998435054,0.011495487752470992,5.98997,261.0,272,first neighbor
PIAS1,0.0010971190129862732,0.0,0.07668231611893583,0.010098839707778254,7.59318,229.0,273,first neighbor
ITGB1,0.0010969306249806968,0.0,0.07042253521126761,0.014772238934250108,4.76722,1397.0,274,first neighbor
MED23,0.0010906855195404,0.0,0.07355242566510173,0.009830253545337344,7.48225,104.0,275,first neighbor
RPS6,0.001086109369279467,0.0,0.06416275430359937,0.014020197679415557,4.57645,275.0,276,first neighbor
HEY1,0.0010842853775212121,0.0,0.06729264475743349,0.007896433175762784,8.5219,83.0,277,first neighbor
CCNE1,0.0010818062654816296,0.0,0.07668231611893583,0.007090674688440051,10.81453,493.0,278,first neighbor
PRKCI,0.0010789181438084555,0.0,0.07042253521126761,0.00827245380318006,8.5129,291.0,279,first neighbor
SMARCC2,0.0010780333420545656,0.0,0.07668231611893583,0.007036957455951869,10.89708,192.0,280,first neighbor
